銘柄コード,日時,数量,約定価格,終値,約定代金,手数料,取得費（税抜）,実現損益,評価損益,コード
VALE,,0,,,-0.237,-0.898096291,0,-1.135096,-0.237,
VERY,"2021-04-08, 10:30:27",1,17.6,14.55,-17.6,-0.179,17.779,0,-3.05,O
VERY,"2021-04-08, 13:08:55",-1,15.29,14.55,15.29,-0.155896979,-17.779,-2.644897,0.74,C
VERY,,0,,,-2.31,-0.334896979,0,-2.644897,-2.31,
VIPS,"2021-04-06, 10:32:55",1,31.52,31.5,-31.52,-0.3152,31.8352,0,-0.02,O
VIPS,"2021-04-07, 09:47:19",-1,30.57,29.51,30.57,-0.305974907,-31.8352,-1.571175,1.06,C
VIPS,,0,,,-0.95,-0.621174907,0,-1.571175,1.04,
VLDR,"2021-04-01, 10:30:22",2,12.65,12.78,-25.3,-0.253,25.553,0,0.26,O
VLDR,"2021-04-19, 14:06:03",-2,13.71,14.06,27.42,-0.274577842,-25.553,1.592422,-0.7,C
VLDR,,0,,,2.12,-0.527577842,0,1.592422,-0.44,
VZ,"2021-05-10, 13:09:01",1,59.768,59.52,-59.768,-0.59768,60.36568,0,-0.248,O
VZ,"2021-05-10, 14:27:32",-1,59.555,59.52,59.555,-0.59597273,-60.36568,-1.406653,0.035,C
VZ,,0,,,-0.213,-1.19365273,0,-1.406653,-0.213,
WAFU,"2021-03-26, 10:30:20",7,13.69,12.66,-95.83,-0.9583,96.7883,0,-7.21,O
WAFU,"2021-03-29, 09:30:01",-7,10.11,9.92,70.77,-0.729893927,-96.7883,-26.748194,1.33,C
WAFU,,0,,,-25.06,-1.688193927,0,-26.748194,-5.88,
WFC,"2021-05-12, 10:44:00",1,46.425,45.64,-46.425,-0.46425,46.88925,0,-0.785,O
WFC,"2021-05-12, 11:59:05",-1,46.285,45.64,46.285,-0.463205053,-46.88925,-1.067455,0.645,C
WFC,,0,,,-0.14,-0.927455053,0,-1.067455,-0.14,
WKEY,"2021-05-26, 10:37:22",6,7.83,8.19,-46.98,-0.4698,47.4498,0,2.16,O;P
WKEY,"2021-05-26, 10:40:05",-6,7.6738,8.19,46.0428,-0.461376818,-47.4498,-1.868377,-3.0972,C
WKEY,,0,,,-0.9372,-0.931176818,0,-1.868377,-0.9372,
WKHS,"2021-05-26, 11:39:57",5,8.95,9.13,-44.75,-0.4615,45.2115,0,0.9,O
WKHS,,5,,,-44.75,-0.4615,45.2115,0,0.9,
WNW,"2021-03-18, 10:31:38",1,13.79,11.93,-13.79,-0.1379,13.9279,0,-1.86,O
WNW,"2021-03-18, 10:44:28",-1,15.82,11.93,15.82,-0.158399682,-13.9279,1.7337,3.89,C
WNW,"2021-03-19, 12:38:29",1,13.17,13.4,-13.17,-0.1347,13.3047,0,0.23,O
WNW,"2021-03-22, 09:36:07",-1,14.41,12.67,14.41,-0.144292491,-13.3047,0.961008,1.74,C
WNW,,0,,,3.27,-0.575292173,0,2.694708,4,
X,"2021-03-29, 10:30:17",1,25.02,23.58,-25.02,-0.2502,25.2702,0,-1.44,O
X,"2021-03-29, 12:48:24",-1,23.67,23.58,23.67,-0.237839717,-25.2702,-1.83804,0.09,C
X,"2021-05-10, 13:04:13",2,29.19,27.45,-58.38,-0.5838,58.9638,0,-3.48,O
X,"2021-05-10, 14:30:52",-2,28.52,27.45,57.04,-0.570928904,-58.9638,-2.494729,2.14,C
X,,0,,,-2.69,-1.642768621,0,-4.332769,-2.69,
XLE,"2021-05-10, 13:13:05",1,54.28,53.65,-54.28,-0.5428,54.8228,0,-0.63,O
XLE,"2021-05-10, 14:47:08",-1,53.84,53.65,53.84,-0.538793584,-54.8228,-1.521594,0.19,C
XLE,"2021-05-12, 10:41:45",1,53.905,52.52,-53.905,-0.53905,54.44405,0,-1.385,O
XLE,"2021-05-12, 10:56:59",-1,53.515,52.52,53.515,-0.535541926,-54.44405,-1.464592,0.995,C
XLE,,0,,,-0.83,-2.15618551,0,-2.986186,-0.83,
XLF,"2021-05-12, 10:44:00",1,37.188,36.7,-37.188,-0.37188,37.55988,0,-0.488,O
XLF,"2021-05-12, 10:45:15",-1,37.152,36.7,37.152,-0.371828475,-37.55988,-0.779708,0.452,C
